make,avg_selling_price
Acura,13983.5977050287
airstream,71000.0
Aston Martin,54812.0
Subaru,Tribeca,-89.5833333333333
Subaru,WRX,603.030303030303
Subaru,XV Crosstrek,91.8905472636816
Suzuki,Aerio,-95.6521739130435
Suzuki,Equator,-75.0
Suzuki,Esteem,-131.25
Suzuki,Forenza,40.7949790794979
Suzuki,Grand Vitara,-92.0103092783505
Suzuki,Kizashi,-81.25
Suzuki,Reno,151.162790697674
Suzuki,SX4,-5.96085409252669
Suzuki,Sidekick,-350.0
Suzuki,Verona,-383.333333333333
Suzuki,Vitara,75.0
Suzuki,XL-7,202.53164556962
Suzuki,XL7,-105.709459459459
Tesla,Model S,758.695652173913
Toyota,4Runner,-173.709484690067
Toyota,Avalon,38.9364664926023
